Census.Date,Ward,Village.2002,Village,vitongoji,Adults,Children,dogs,vacc_dogs,pups,vacc_pups,cats,vacc_cats,kittens,vacc_kittens,humansTotal,dogsTotal
07/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,3,0,0,0,0,0,0,0,0,5,0
07/03/2012,Rigicha,Wagete,Wagete,Mabatini,3,5,0,0,0,0,0,0,0,0,8,0
07/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,2,2,2,0,0,3,0,0,0,4,2
07/03/2012,Rigicha,Wagete,Wagete,Mabatini,3,10,5,2,0,0,0,0,0,0,13,5
07/03/2012,Rigicha,Wagete,Wagete,Mabatini,3,7,1,1,0,0,0,0,0,0,10,1
07/03/2012,Rigicha,Wagete,Wagete,Mabatini,3,1,0,0,0,0,2,0,0,0,4,0
07/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,2,0,0,0,0,0,0,0,0,4,0
07/03/2012,Rigicha,Wagete,Wagete,Mabatini,5,5,5,2,0,0,1,0,0,0,10,5
07/03/2012,Rigicha,Wagete,Wagete,Mabatini,3,0,3,2,0,0,0,0,0,0,3,3
07/03/2012,Rigicha,Wagete,Wagete,Mabatini,5,2,3,0,0,0,0,0,0,0,7,3
09/03/2012,Rigicha,Wagete,Wagete,Mabatini,6,2,4,1,0,0,2,0,0,0,8,4
09/03/2012,Rigicha,Wagete,Wagete,Mabatini,7,5,2,0,0,0,2,0,0,0,12,2
09/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,6,1,0,0,0,0,0,0,0,8,1
09/03/2012,Rigicha,Wagete,Wagete,Mabatini,4,2,1,0,0,0,1,0,0,0,6,1
09/03/2012,Rigicha,Wagete,Wagete,Mabatini,3,4,1,1,0,0,0,0,0,0,7,1
09/03/2012,Rigicha,Wagete,Wagete,Mabatini,4,5,0,0,0,0,0,0,0,0,9,0
09/03/2012,Rigicha,Wagete,Wagete,Mabatini,3,3,2,0,0,0,1,0,0,0,6,2
09/03/2012,Rigicha,Wagete,Wagete,Mabatini,3,6,2,2,0,0,1,0,0,0,9,2
09/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,4,0,0,0,0,0,0,0,0,6,0
09/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,0,0,0,0,0,0,0,0,0,2,0
09/03/2012,Rigicha,Wagete,Wagete,Mabatini,4,3,4,1,0,0,1,0,0,0,7,4
09/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,3,0,0,0,0,0,0,0,0,5,0
09/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,1,0,0,0,0,0,0,0,0,3,0
09/03/2012,Rigicha,Wagete,Wagete,Mabatini,6,4,1,0,0,0,2,0,0,0,10,1
09/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,6,3,0,0,0,1,0,0,0,8,3
09/03/2012,Rigicha,Wagete,Wagete,Mabatini,5,2,3,1,0,0,0,0,0,0,7,3
09/03/2012,Rigicha,Wagete,Wagete,Mabatini,3,2,1,1,4,0,0,0,0,0,5,5
09/03/2012,Rigicha,Wagete,Wagete,Mabatini,3,5,3,0,0,0,1,0,0,0,8,3
09/03/2012,Rigicha,Wagete,Wagete,Mabatini,4,7,1,0,0,0,0,0,0,0,11,1
09/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,2,1,0,0,0,0,0,0,0,4,1
11/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,2,0,0,0,0,1,0,0,0,4,0
11/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,7,4,1,0,0,1,0,0,0,9,4
11/03/2012,Rigicha,Wagete,Wagete,Mabatini,3,4,0,0,0,0,0,0,0,0,7,0
11/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,3,6,1,0,0,0,0,0,0,5,6
11/03/2012,Rigicha,Wagete,Wagete,Mabatini,3,4,0,0,0,0,1,0,0,0,7,0
11/03/2012,Rigicha,Wagete,Wagete,Mabatini,5,5,6,6,0,0,2,0,3,0,10,6
11/03/2012,Rigicha,Wagete,Wagete,Mabatini,1,4,1,0,0,0,0,0,0,0,5,1
11/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,4,0,0,0,0,0,0,0,0,6,0
11/03/2012,Rigicha,Wagete,Wagete,Mabatini,1,0,0,0,0,0,0,0,0,0,1,0
11/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,5,0,0,0,0,0,0,0,0,7,0
11/03/2012,Rigicha,Wagete,Wagete,Mabatini,4,0,0,0,0,0,0,0,0,0,4,0
11/03/2012,Rigicha,Wagete,Wagete,Mabatini,3,5,0,0,0,0,1,0,0,0,8,0
11/03/2012,Rigicha,Wagete,Wagete,Mabatini,5,4,2,2,0,0,2,0,0,0,9,2
11/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,5,0,0,0,0,0,0,0,0,7,0
11/03/2012,Rigicha,Wagete,Wagete,Mabatini,1,1,0,0,0,0,0,0,0,0,2,0
11/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,2,3,1,0,0,0,0,0,0,4,3
11/03/2012,Rigicha,Wagete,Wagete,Mabatini,3,4,1,0,0,0,0,0,0,0,7,1
11/03/2012,Rigicha,Wagete,Wagete,Mabatini,3,2,0,0,0,0,0,0,0,0,5,0
13/03/2012,Rigicha,Wagete,Wagete,Mabatini,1,2,0,0,0,0,0,0,0,0,3,0
13/03/2012,Rigicha,Wagete,Wagete,Mabatini,4,3,4,0,0,0,0,0,0,0,7,4
13/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,8,5,3,1,0,1,0,1,0,10,6
13/03/2012,Rigicha,Wagete,Wagete,Mabatini,3,6,3,0,0,0,0,0,0,0,9,3
13/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,4,3,0,0,0,0,0,0,0,6,3
13/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,0,0,0,0,0,0,0,0,0,2,0
13/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,2,0,0,2,0,0,0,0,0,4,2
13/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,3,0,0,0,0,0,0,0,0,5,0
13/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,2,0,0,0,0,0,0,0,0,4,0
13/03/2012,Rigicha,Wagete,Wagete,Mabatini,5,4,1,1,0,0,0,0,0,0,9,1
13/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,2,1,0,0,0,0,0,0,0,4,1
13/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,7,1,0,0,0,0,0,0,0,9,1
13/03/2012,Rigicha,Wagete,Wagete,Mabatini,5,4,2,0,0,0,0,0,0,0,9,2
13/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,2,0,0,0,0,0,0,0,0,4,0
13/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,5,3,0,0,0,1,0,0,0,7,3
13/03/2012,Rigicha,Wagete,Wagete,Mabatini,3,5,0,0,0,0,0,0,0,0,8,0
13/03/2012,Rigicha,Wagete,Wagete,Mabatini,3,6,2,0,0,0,0,0,0,0,9,2
13/03/2012,Rigicha,Wagete,Wagete,Mabatini,4,6,0,0,0,0,0,0,0,0,10,0
13/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,2,1,0,0,0,0,0,0,0,4,1
13/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,4,0,0,0,0,0,0,0,0,6,0
15/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,11,4,0,0,0,0,0,0,0,13,4
15/03/2012,Rigicha,Wagete,Wagete,Mabatini,1,2,0,0,0,0,0,0,0,0,3,0
15/03/2012,Rigicha,Wagete,Wagete,Mabatini,1,0,0,0,0,0,0,0,0,0,1,0
15/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,0,0,0,0,0,0,0,0,0,2,0
15/03/2012,Rigicha,Wagete,Wagete,Mabatini,2,4,0,0,0,0,0,0,0,0,6,0
