"date","village","dogs_vax","cats_vax"
2022-05-05,"Bisarara",93,3
2022-04-25,"Bokore",96,2
2023-08-10,"Bokore",60,3
2022-05-17,"Bonchugu",297,10
2023-08-14,"Bonchugu",401,13
2022-04-22,"Burunga",175,5
2022-05-18,"Bwitengi",93,3
2022-04-05,"Iharara",228,7
2023-07-24,"Iharara",178,13
2022-04-27,"Kebosongo",189,16
2022-04-21,"Kegonga",96,5
2022-04-19,"Kenokwe",170,6
2022-04-20,"Kenokwe",196,4
2022-04-21,"Kenokwe",5,0
2023-08-02,"Kenokwe",144,0
2023-08-07,"Kenokwe",110,2
2022-05-06,"Kibeyo",215,18
2022-05-06,"Kisangura",187,11
2022-05-19,"Kisangura",65,1
2022-05-23,"Kitarungu",111,0
2022-05-11,"Kitunguruma",102,8
2022-04-06,"Kono",52,1
2023-07-25,"Kono",54,4
2023-07-27,"Kono",109,6
2022-05-13,"Koreri",191,5
2022-04-25,"Kyambahi",137,1
2023-08-10,"Kyambahi",132,2
2022-05-09,"Machochwe",201,12
2022-05-10,"Machochwe",14,0
2022-04-08,"Makundusi",53,0
2022-04-12,"Makundusi",413,9
2023-07-28,"Makundusi",47,1
2023-08-03,"Makundusi",333,9
2022-05-10,"Manyata",67,9
2022-05-20,"Marasomoche",154,0
2022-04-21,"Matare",246,31
2022-05-11,"Mbalibali",129,11
2022-05-12,"Mbalibali",114,6
2022-05-19,"Mbirikiri",179,2
2022-04-08,"Mbisso",54,0
2022-04-11,"Mbisso",183,8
2022-04-14,"Mbisso",112,1
2023-07-27,"Mbisso",50,0
2023-07-28,"Mbisso",48,3
2023-07-31,"Mbisso",100,0
2022-04-29,"Merenga",143,5
2023-08-04,"Merenga",92,2
2022-04-28,"Misseke",108,5
2022-05-18,"Morotonga",190,13
2022-04-12,"Mosongo",1,0
2022-04-14,"Mosongo",356,1
2023-08-01,"Mosongo",76,3
2023-08-02,"Mosongo",156,0
2022-04-11,"Motukeri",163,1
2023-07-31,"Motukeri",127,4
2022-05-21,"Mugumu",751,70
2022-04-20,"Ngarawani",84,2
2022-05-13,"Ngarawani",85,6
2022-04-12,"Nyakitono",1,0
2022-05-10,"Nyamakendo",149,7
2022-04-06,"Nyamasingisi",275,10
2022-04-13,"Nyamasingisi",3,0
2023-07-25,"Nyamasingisi",222,6
2023-08-01,"Nyamatoke",145,6
2022-04-22,"Nyamburi",209,15
2023-07-21,"Nyamburi",212,8
2022-05-20,"Nyansurura",88,6
2022-05-23,"Nyansurura",56,0
2022-04-19,"Nyanungu",182,4
2023-08-07,"Nyanungu",155,1
2022-04-05,"Nyiberekera",68,1
2022-04-07,"Nyiberekera",209,31
2023-07-24,"Nyiberekera",68,1
2023-07-26,"Nyiberekera",200,16
2022-04-13,"Nyichoka",269,9
2023-08-09,"Nyichoka",213,9
2022-05-16,"Park Nyigoti",81,11
2023-08-11,"Park Nyigoti",53,2
2022-05-16,"Robanda",39,0
2023-08-11,"Robanda",34,0
2022-04-27,"Rwamchanga",41,2
2022-04-28,"Rwamchanga",117,0
2022-04-07,"Singisi",286,15
2023-07-26,"Singisi",253,15
2022-05-05,"Tamkeri",148,4
2022-05-12,"Tamkeri",149,1
2023-08-09,"Tamkeri",2,0
