Council/Ward,Population,Male,Female,Sex Ratio,Number of Households,Average Household Size
Kenyamonta,16507.00,7900.00,8607.00,92.00,3183.00,5.20
Majimoto,12396.00,6102.00,6294.00,97.00,2592.00,4.80
Busawe,7804.00,3738.00,4066.00,92.00,1536.00,5.10
Kisaka,15338.00,7396.00,7942.00,93.00,3137.00,4.90
Ring'wani,12508.00,6166.00,6342.00,97.00,2014.00,6.20
Nyansurura,15274.00,7191.00,8083.00,89.00,2524.00,6.10
Kebanchabancha,10437.00,5026.00,5411.00,93.00,1660.00,6.30
Rung'abure,12540.00,5868.00,6672.00,88.00,1981.00,6.30
Mosongo,16976.00,8254.00,8722.00,95.00,2986.00,5.70
Nyambureti,18500.00,8982.00,9518.00,94.00,3538.00,5.20
Magange,9638.00,4631.00,5007.00,92.00,1785.00,5.40
Nyamatare,6482.00,3082.00,3400.00,91.00,1336.00,4.90
Nyamoko,9244.00,4383.00,4861.00,90.00,1599.00,5.80
Machochwe,12677.00,5944.00,6733.00,88.00,1917.00,6.60
Mbalibali,15655.00,7380.00,8275.00,89.00,2415.00,6.50
Kisangura,9991.00,4720.00,5271.00,90.00,1590.00,6.30
Manchira,8960.00,4300.00,4660.00,92.00,1691.00,5.30
Sedeco,14482.00,7330.00,7152.00,102.00,1868.00,7.80
Geitasamo,5038.00,2382.00,2656.00,90.00,817.00,6.20
Matare,4875.00,2324.00,2551.00,91.00,893.00,5.50
Stendi Kuu,13089.00,5983.00,7106.00,84.00,3058.00,4.30
Mugumu,13288.00,6049.00,7239.00,84.00,3173.00,4.20
Morotonga,5495.00,2536.00,2959.00,86.00,1235.00,4.40
Uwanja wa Ndege,8462.00,4112.00,4350.00,95.00,1565.00,5.40
Ikoma,6223.00,3460.00,2763.00,125.00,1236.00,5.00
Natta,20569.00,10271.00,10298.00,100.00,3976.00,5.20
Nagusi,5955.00,2987.00,2968.00,101.00,991.00,6.00
Issenye,9814.00,4749.00,5065.00,94.00,2037.00,4.80
Rigicha,12467.00,6096.00,6371.00,96.00,2052.00,6.10
Kyambahi,9665.00,4813.00,4852.00,99.00,1615.00,6.00
