"village","ward","district","date.vaccinated","dogsVax"
"Bonchugu","Sedeco","Serengeti",2020-11-27,188
"Borenga","Kisaka","Serengeti",2020-11-12,4
"Borenga","Kisaka","Serengeti",2020-11-13,92
"Borenga","Kisaka","Serengeti",2022-01-24,113
"Borenga","Kisaka","Serengeti",2022-01-25,50
"Borenga","Kisaka","Serengeti",2022-11-21,134
"Borenga","Kisaka","Serengeti",2022-11-22,10
"Borenga","Kisaka","Serengeti",2022-11-24,2
"Borenga","Kisaka","Serengeti",2022-11-25,4
"Buchanchari","Kisaka","Serengeti",2020-11-10,113
"Buchanchari","Kisaka","Serengeti",2020-11-11,85
"Buchanchari","Kisaka","Serengeti",2022-01-26,167
"Buchanchari","Kisaka","Serengeti",2022-01-27,112
"Buchanchari","Kisaka","Serengeti",2022-01-28,12
"Buchanchari","Kisaka","Serengeti",2022-11-23,67
"Buchanchari","Kisaka","Serengeti",2022-11-24,140
"Buchanchari","Kisaka","Serengeti",2022-11-25,5
"Busawe","Busawe","Serengeti",2020-11-25,171
"Busawe","Busawe","Serengeti",2021-12-17,191
"Busawe","Busawe","Serengeti",2022-11-30,82
"Gantamome","Busawe","Serengeti",2020-11-23,20
"Gantamome","Busawe","Serengeti",2020-11-24,34
"Gantamome","Busawe","Serengeti",2020-11-25,19
"Gantamome","Busawe","Serengeti",2021-12-15,59
"Gantamome","Busawe","Serengeti",2021-12-16,46
"Gantamome","Busawe","Serengeti",2021-12-17,9
"Gantamome","Busawe","Serengeti",2022-11-28,9
"Gantamome","Busawe","Serengeti",2022-11-29,69
"Gantamome","Busawe","Serengeti",2022-11-30,19
"Gesarya","Rung'Abure","Serengeti",2020-11-07,70
"Gesarya","Rung'Abure","Serengeti",2020-12-08,79
"Gesarya","Rung'Abure","Serengeti",2021-03-08,10
"Gesarya","Rung'Abure","Serengeti",2021-03-10,31
"Gesarya","Rung'Abure","Serengeti",2021-11-22,1
"Gesarya","Rung'Abure","Serengeti",2021-11-23,1
