"District","Ward","Village","Vaccination.Date","Dogs.Vaccinated","Cats.Vaccinated"
"Serengeti","Nyansurura","Merenga",2003-06-22,129,0
"Serengeti","Sedeco","Bisarara",2003-07-15,147,0
"Serengeti","Sedeco","Bonchugu",2003-07-15,188,0
"Serengeti","Uwanja wa Ndege","Burunga",2003-07-15,159,0
"Serengeti","Manchira","Bwitengi",2003-07-15,67,0
"Serengeti","Issenye","Iharara",2003-07-15,37,0
"Serengeti","Kisangura","Kebosongo",2003-07-15,96,0
"Serengeti","Kisangura","Kibeyo",2003-07-15,90,0
"Serengeti","Kisangura","Kisangura",2003-07-15,125,0
"Serengeti","Rigicha","Kitembere",2003-07-15,126,0
"Serengeti","Geitasamo","Matare",2003-07-15,172,0
"Serengeti","Natta","Makundusi",2003-08-14,20,0
"Serengeti","Natta","Kono",2003-08-15,84,0
"Serengeti","Mbalibali","Koreri",2003-08-15,83,0
"Serengeti","Kyambahi","Kyambahi",2003-08-15,93,0
"Serengeti","Machochwe","Machochwe",2003-08-15,242,0
"Serengeti","Nyansurura","Marasomoche",2003-08-15,166,0
"Serengeti","Mbalibali","Mbalibali",2003-08-15,271,0
"Serengeti","Natta","Mbisso",2003-08-15,54,0
"Serengeti","Manchira","Misseke",2003-08-15,31,0
"Serengeti","Morotonga","Morotonga",2003-08-15,223,0
"Serengeti","Mosongo","Mosongo",2003-08-15,132,0
"Serengeti","Natta","Motukeri",2003-08-15,76,0
"Serengeti","Mugumu","Mugumu",2003-08-15,528,0
"Serengeti","Machochwe","Nyamakendo",2003-08-15,64,0
"Serengeti","Issenye","Nyamasingisi",2003-08-15,96,0
"Serengeti","Sedeco","Nyamburi",2003-08-15,128,0
"Serengeti","Nyansurura","Nyansurura",2003-08-15,133,0
"Serengeti","Issenye","Nyiberekera",2003-08-15,157,0
"Serengeti","Kyambahi","Nyichoka",2003-08-15,122,0
"Serengeti","Ikoma","Park Nyigoti",2003-08-15,53,0
"Serengeti","Ikoma","Robanda",2003-08-15,3,0
"Serengeti","Manchira","Rwamchanga",2003-08-15,79,0
"Serengeti","Issenye","Singisi",2003-08-15,25,0
"Serengeti","Kisaka","Borenga",2004-06-07,221,0
"Serengeti","Issenye","Iharara",2004-06-07,79,0
"Serengeti","Issenye","Nyamasingisi",2004-06-07,99,0
"Serengeti","Issenye","Nyiberekera",2004-06-07,140,0
"Serengeti","Kisaka","Nyiboko",2004-06-07,105,0
"Serengeti","Issenye","Singisi",2004-06-07,90,0
"Serengeti","Kisaka","Buchanchari",2004-06-08,265,0
"Serengeti","Natta","Makundusi",2004-06-08,90,0
"Serengeti","Natta","Mbisso",2004-06-08,144,0
"Serengeti","Natta","Motukeri",2004-06-08,131,3
"Serengeti","Kisaka","Nyansurumunti",2004-06-08,184,0
"Serengeti","Uwanja wa Ndege","Burunga",2004-06-09,254,0
"Serengeti","Busawe","Busawe",2004-06-09,194,0
"Serengeti","Busawe","Gantamome",2004-06-09,189,0
"Serengeti","Mosongo","Mosongo",2004-06-09,255,0
"Serengeti","Kyambahi","Nyichoka",2004-06-09,169,0
"Serengeti","Manchira","Bwitengi",2004-06-10,97,0
"Serengeti","Majimoto","Iseresere",2004-06-10,107,0
"Serengeti","Majimoto","Nyamakobiti",2004-06-10,276,0
"Serengeti","Ikoma","Park Nyigoti",2004-06-10,76,0
"Serengeti","Ikoma","Robanda",2004-06-10,18,0
"Serengeti","Kenyamonta","Magatini",2004-06-11,216,0
"Serengeti","Majimoto","Majimoto",2004-06-11,245,0
"Serengeti","Manchira","Misseke",2004-06-11,111,1
"Serengeti","Manchira","Rwamchanga",2004-06-11,76,0
"Serengeti","Kisangura","Kebosongo",2004-06-14,151,0
"Serengeti","Kenyamonta","Mesaga",2004-06-14,193,0
