"cellID","Region","District","Ward","WardID","Village","VillageID"
1,"Mara","Serengeti","Kenyamonta",6,"Hekwe",12
2,"Mara","Serengeti","Majimoto",12,"Majimoto",37
3,"Mara","Serengeti","Kenyamonta",6,"Hekwe",12
4,"Mara","Serengeti","Majimoto",12,"Majimoto",37
5,"Mara","Serengeti","Kenyamonta",6,"Hekwe",12
6,"Mara","Serengeti","Majimoto",12,"Majimoto",37
7,"Mara","Serengeti","Kenyamonta",6,"Hekwe",12
8,"Mara","Serengeti","Kenyamonta",6,"Hekwe",12
9,"Mara","Serengeti","Majimoto",12,"Majimoto",37
10,"Mara","Serengeti","Majimoto",12,"Majimoto",37
11,"Mara","Serengeti","Kisaka",7,"Nyansurumunti",70
12,"Mara","Serengeti","Kisaka",7,"Nyansurumunti",70
13,"Mara","Serengeti","Kisaka",7,"Nyansurumunti",70
14,"Mara","Serengeti","Kisaka",7,"Nyansurumunti",70
15,"Mara","Serengeti","Kisaka",7,"Buchanchari",5
16,"Mara","Serengeti","Kisaka",7,"Buchanchari",5
17,"Mara","Serengeti","Kisaka",7,"Buchanchari",5
18,"Mara","Serengeti","Kisaka",7,"Buchanchari",5
19,"Mara","Serengeti","Kisaka",7,"Nyiboko",74
20,"Mara","Serengeti","Kisaka",7,"Borenga",4
21,"Mara","Serengeti","Kenyamonta",6,"Hekwe",12
22,"Mara","Serengeti","Kenyamonta",6,"Hekwe",12
23,"Mara","Serengeti","Kenyamonta",6,"Hekwe",12
24,"Mara","Serengeti","Majimoto",12,"Majimoto",37
25,"Mara","Serengeti","Majimoto",12,"Iseresere",14
26,"Mara","Serengeti","Majimoto",12,"Iseresere",14
27,"Mara","Serengeti","Majimoto",12,"Iseresere",14
28,"Mara","Serengeti","Busawe",1,"Gantamome",9
29,"Mara","Serengeti","Busawe",1,"Gantamome",9
30,"Mara","Serengeti","Kisaka",7,"Nyansurumunti",70
31,"Mara","Serengeti","Kisaka",7,"Nyansurumunti",70
32,"Mara","Serengeti","Kisaka",7,"Nyansurumunti",70
33,"Mara","Serengeti","Kisaka",7,"Nyansurumunti",70
34,"Mara","Serengeti","Kisaka",7,"Nyansurumunti",70
35,"Mara","Serengeti","Kisaka",7,"Nyansurumunti",70
36,"Mara","Serengeti","Kisaka",7,"Buchanchari",5
37,"Mara","Serengeti","Kisaka",7,"Buchanchari",5
38,"Mara","Serengeti","Kisaka",7,"Buchanchari",5
39,"Mara","Serengeti","Kisaka",7,"Buchanchari",5
40,"Mara","Serengeti","Kisaka",7,"Buchanchari",5
41,"Mara","Serengeti","Kisaka",7,"Nyiboko",74
42,"Mara","Serengeti","Kisaka",7,"Nyiboko",74
43,"Mara","Serengeti","Kisaka",7,"Borenga",4
