"2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
0,147,162,172,106,156,180,171,148,191,189,397,310,194,261,300,241,124,187,0,93
0,26,36,32,76,38,46,56,86,77,0,0,0,0,87,84,115,105,75,0,96
0,131,145,253,191,179,213,257,222,208,250,326,290,435,110,432,378,294,292,0,297
0,0,221,0,0,145,218,235,145,135,0,0,296,352,321,341,0,336,96,0,313
0,0,265,0,0,242,351,243,266,180,0,366,145,487,425,321,0,485,198,0,503
0,159,254,282,257,263,230,297,309,338,214,276,207,231,239,261,181,160,187,0,175
0,0,194,0,0,54,83,101,96,12,0,0,201,186,264,200,0,247,171,191,82
0,67,97,177,178,134,156,116,161,186,179,222,120,100,126,200,250,162,160,0,93
0,0,106,0,0,75,46,87,269,0,0,236,228,244,199,229,0,218,73,114,97
0,0,240,0,0,249,111,157,0,0,0,0,364,317,204,356,0,180,149,173,75
0,0,198,0,0,8,186,71,0,0,278,441,422,177,296,411,0,194,36,146,0
0,0,159,81,0,0,108,170,0,0,218,0,187,242,281,286,0,117,74,144,9
0,37,79,149,214,144,199,223,238,227,179,188,191,184,155,311,201,329,234,0,228
0,0,107,0,0,96,88,40,216,0,385,0,283,357,337,296,0,299,207,227,126
0,0,0,0,0,121,0,147,0,12,285,533,351,193,185,310,0,243,249,142,410
0,0,99,0,0,27,27,10,0,0,0,0,288,304,134,533,0,301,183,74,273
0,96,151,167,167,110,111,246,197,218,122,453,235,259,267,326,259,216,206,0,189
0,0,0,86,81,54,98,68,88,0,92,125,105,82,132,140,118,107,91,0,96
0,0,248,0,0,34,130,129,0,0,404,269,204,399,302,530,0,390,407,384,630
0,50,96,57,108,155,81,189,187,173,283,221,374,353,414,221,232,161,118,0,371
0,0,281,110,0,0,147,76,0,0,343,0,281,405,374,353,0,173,93,147,225
0,0,75,0,0,88,53,76,0,23,136,56,341,311,291,633,0,307,316,311,637
0,0,0,0,0,67,0,81,0,7,0,0,0,116,114,176,0,109,86,8,0
0,90,145,231,178,166,172,190,187,0,121,181,186,244,270,439,336,214,203,0,215
0,125,215,251,141,112,162,175,168,188,167,292,278,380,531,479,335,216,267,0,252
0,45,127,90,82,111,70,72,52,75,0,0,0,75,137,282,117,81,75,0,111
0,126,140,184,213,181,190,211,236,87,199,264,185,199,207,267,174,151,161,111,338
0,0,293,88,213,194,96,114,187,120,150,103,175,155,147,131,136,99,120,0,102
0,84,98,107,117,77,67,83,356,500,82,112,125,97,121,173,73,72,96,0,52
0,83,110,160,173,180,209,187,231,240,218,168,368,224,290,255,257,191,132,0,191
0,0,0,0,0,54,0,0,0,40,0,0,187,224,398,157,0,234,302,192,262
0,93,84,112,142,88,124,129,147,168,118,171,122,143,122,190,115,117,98,0,137
0,0,311,0,0,54,327,202,0,0,173,536,450,528,356,519,0,405,142,277,0
0,242,287,365,219,312,228,193,226,209,235,248,306,299,537,505,273,224,224,0,215
0,0,277,0,0,176,149,137,0,0,74,241,272,255,287,251,0,227,141,113,173
0,0,57,29,0,0,39,62,0,0,79,0,68,87,101,103,0,249,110,85,139
0,0,245,0,0,0,150,178,96,0,285,286,384,300,470,417,0,207,131,148,87
0,20,90,81,188,207,148,272,259,437,245,349,558,619,513,586,540,394,300,0,466
0,20,80,71,66,114,77,58,64,0,0,102,0,104,0,135,127,99,89,0,67
0,166,232,164,90,177,173,132,144,0,159,157,158,159,134,223,164,105,134,0,154
0,0,179,0,0,196,63,124,0,0,172,169,0,271,316,340,0,303,276,67,51
0,0,369,0,0,66,447,148,0,0,323,0,269,400,391,335,0,340,75,132,189
0,172,0,222,175,243,232,203,206,0,202,356,273,244,319,383,297,237,294,0,246
0,196,0,101,149,177,154,146,199,216,237,642,220,156,695,358,386,272,222,0,243
0,57,63,111,84,79,94,113,97,91,90,120,154,238,208,174,196,170,203,0,179
0,54,144,135,273,295,261,226,0,0,260,299,292,261,208,206,207,221,258,0,349
0,129,240,267,271,301,217,290,284,199,207,192,107,128,157,163,118,77,115,0,143
0,0,193,105,0,0,125,143,198,0,265,0,197,221,370,388,0,333,122,181,137
0,31,111,217,159,110,158,114,127,154,149,103,123,166,222,262,290,173,125,0,108
0,0,134,0,0,126,149,0,0,0,17,0,123,261,295,216,0,163,68,80,0
0,223,280,306,291,263,361,324,362,0,275,360,279,258,270,421,361,177,309,0,190
0,82,159,94,179,256,134,312,308,286,375,341,288,254,262,510,485,366,341,0,357
0,76,131,148,186,242,268,247,189,227,168,188,215,209,250,212,177,142,168,0,163
0,314,299,416,379,534,540,669,584,619,625,862,662,534,680,587,631,528,436,0,446
0,0,408,0,0,289,207,229,0,0,0,0,0,339,346,422,0,217,243,228,309
0,0,0,0,0,225,363,489,0,0,0,0,231,246,255,242,0,242,158,0,169
0,0,373,105,0,0,244,265,0,0,404,145,342,440,470,485,0,392,96,276,195
0,44,175,153,143,247,166,125,139,0,230,285,292,314,196,291,243,142,100,0,149
0,0,276,0,0,43,40,38,869,0,19,145,325,201,444,431,0,270,208,177,105
0,96,99,202,219,214,236,221,234,264,160,213,222,234,255,327,274,246,212,0,278
0,0,33,0,0,47,283,7,0,0,0,92,142,203,177,405,0,166,151,129,258
0,0,155,0,0,0,239,138,0,0,0,127,158,203,234,335,0,230,0,0,0
