"","id_case","id_biter","x_coord","y_coord","owned","date_symptoms","days_uncertain"
"1",7562,0,657691.753900233,9793272.71384442,TRUE,2012-08-11,0
"2",8065,0,663283.523789134,9827466.79625188,TRUE,2013-01-15,7
"3",8074,0,685045.019766502,9779327.70628078,FALSE,2013-05-11,0
"4",8198,0,690781.440291963,9813925.9970054,FALSE,2013-05-22,0
"5",8966,0,664788.948902321,9793189.00630341,FALSE,2014-03-04,0
"6",9140,0,663680.131428672,9787122.54288367,FALSE,2013-11-04,0
"7",9457,0,685240.646660386,9795026.86914907,TRUE,2011-02-15,14
"8",1072,0,654237.31411496,9788705.8205423,TRUE,2003-09-15,28
"9",3683,0,645660.322649167,9799628.84267378,FALSE,2008-05-25,7
"10",3945,0,662226.486303843,9813877.40321888,TRUE,2007-11-25,7
"11",3949,0,662202.535369811,9813373.84209675,TRUE,2005-11-18,0
"12",4109,0,682948.551304414,9786075.17487082,FALSE,2007-07-20,0
"13",4182,0,661351.064008316,9817877.47578688,FALSE,2010-05-03,0
"14",4206,0,678171.559694236,9801988.66275534,TRUE,2010-05-01,28
"15",4402,0,661682.7396623,9797683.11967944,TRUE,2010-06-10,0
"16",5015,0,688041.868234498,9762829.09675135,FALSE,2010-05-30,0
"17",1956,0,661748.691204077,9791500.83630484,FALSE,2005-08-12,0
"18",1957,0,661382.01377671,9797025.98195883,FALSE,2002-08-15,28
"19",3776,0,657439.984265623,9790000.34060425,FALSE,2008-07-15,0
"20",3783,0,687491.239375477,9819013.82242485,TRUE,2008-08-03,0
"21",6183,0,665583.039634031,9820975.49486776,TRUE,2010-09-15,7
"22",6252,0,700903.788890444,9798143.46866416,FALSE,2011-02-03,0
"23",6561,0,658129.720475124,9804979.30301074,FALSE,2011-06-15,7
"24",6569,0,657743.170849214,9804952.94894093,FALSE,2010-01-10,0
"25",6595,0,678611.721269828,9782975.41996995,TRUE,2011-10-16,0
"26",6699,0,660872.69368159,9831445.88352859,TRUE,2011-10-26,0
"27",6820,0,653624.812379223,9791300.36915083,TRUE,2011-12-24,0
"28",6860,0,649144.294186288,9779512.59978598,TRUE,2011-12-05,0
"29",7542,0,695395.485871834,9788368.5993024,TRUE,2012-07-19,0
"30",7906,0,655119.34240107,9810845.74037434,FALSE,2012-12-08,0
"31",8105,0,691057.411953297,9785289.5547589,FALSE,2012-12-25,7
"32",8301,0,667075.290533597,9811791.45296566,FALSE,2013-07-08,0
"33",8318,0,658538.796437838,9804638.23498695,TRUE,2013-05-02,0
"34",8360,0,699016.181431097,9793161.84857381,FALSE,2013-06-01,0
"35",8539,0,648325.165082007,9778369.44254172,FALSE,2013-08-14,0
"36",8993,0,678642.779594942,9799613.58198131,FALSE,2014-05-20,0
"37",9002,0,687061.84504083,9761542.07863077,TRUE,2014-06-10,0
"38",9049,0,661464.657149858,9774952.48166361,FALSE,2013-03-03,0
"39",9051,0,661636.992196941,9775982.00323088,FALSE,2002-01-15,28
"40",9097,0,661104.549826248,9810113.15872754,TRUE,2013-10-14,0
"41",9187,0,660334.485590303,9814638.47332508,TRUE,2013-02-05,0
"42",9280,0,695844.374306827,9791892.65744078,FALSE,2006-12-22,0
"43",10,0,700808.620535679,9801177.82195903,TRUE,2003-04-08,0
"44",1066,0,662442.441427469,9786313.13898514,TRUE,2003-03-03,0
"45",1069,0,666520.812907775,9786711.54281566,FALSE,2002-03-31,0
"46",1105,0,664303.067887698,9813246.52322201,FALSE,2003-11-05,7
"47",1171,0,647771.140477245,9796202.87356294,TRUE,2003-07-30,0
"48",1274,0,653959.999112188,9793590.07746561,TRUE,2004-05-13,0
"49",1295,0,658604.387810169,9809986.33557221,FALSE,2003-05-12,0
"50",1300,0,643102.76837692,9814781.46836817,TRUE,2004-05-07,0
"51",1341,0,686343.991967495,9803470.01838844,FALSE,2002-10-25,7
"52",1351,0,687760.569048245,9761776.94311358,TRUE,2004-06-05,0
"53",14,0,695598.829991193,9805668.61687218,FALSE,2002-02-04,0
"54",1404,0,653836.506766804,9784634.40877784,TRUE,2004-02-22,0
"55",153,0,699398.009665056,9793151.01677398,TRUE,2002-10-15,28
"56",1556,0,663885.263199348,9800354.83775005,TRUE,2003-12-20,0
"57",1612,0,677910.26684071,9821353.81274288,FALSE,2003-07-15,28
"58",180,0,643670.747978675,9811565.05248472,TRUE,2002-10-15,28
"59",183,0,649708.658769236,9824641.37225071,FALSE,2003-08-10,0
"60",1892,0,686296.852104145,9814613.7040503,TRUE,2005-08-09,0
"61",193,0,640113.24743863,9821107.10945086,TRUE,2003-01-26,0
"62",1930,0,680969.147065106,9815187.98091111,TRUE,2002-03-05,0
"63",196,0,639727.818565274,9821423.01284442,TRUE,2003-01-26,0
"64",1977,0,675322.23611892,9822450.14619868,FALSE,2002-05-14,0
"65",1990,0,670238.359728864,9830956.52101731,TRUE,2005-04-15,28
"66",1995,0,662542.778325704,9830500.48186062,TRUE,2005-08-07,0
"67",200,0,641225.7931892,9819952.59411134,TRUE,2003-02-15,28
