"District","Ward","Village","Village.2002","UTM.Easting","UTM.Northing","Biter.ID","ID","Species","Other.species","Owner","Suspect","Rabid","Vaccination","Date.bitten.known","Date.bitten","Date.bitten.uncertainty","Symptoms.started.known","Symptoms.started","Symptoms.started.accuracy","Incubation.period","Incubation.period.units","Infectious.period","Infectious.period.units","Outcome","Action","Lateral.flow.test","Lateral.flow.test.date","Carnivore","Duplicated","month","day"
"Serengeti","Mosongo","Kenokwe","Kenokwe",670820.466688021,9797239.86516659,0,2569,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2006-02-01,"+/- 14 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,50,1493
"Serengeti","Kebanchebanche","Sogoti","Sogoti",673626.714612554,9815354.62571461,0,3542,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2008-02-17,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,74,2239
"Serengeti","Machochwe","Manyata","Manyata",688017.352000898,9810376.16675617,3778,3777,"Domestic dog","","Known","Yes",TRUE,"Unknown","true",2008-07-25,"+/- 7 days","true",2008-08-02,"0",NA,"",2,"Day","Disappeared","Not applicable","","",TRUE,FALSE,80,2406
"Serengeti","Majimoto","Nyamakobiti","Nyamakobiti",648880.459272398,9822429.49880176,0,4716,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2010-08-24,"0",NA,"",NA,"","Died","Not applicable","","",TRUE,FALSE,104,3158
"Serengeti","Majimoto","Nyamakobiti","Nyamakobiti",649292.28367606,9821614.27310277,0,4719,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2010-09-16,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,105,3181
"Serengeti","Busawe","Busawe","Busawe",657083.596792437,9823244.77112937,4866,4867,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2010-10-15,"+/- 7 days","true",2010-11-25,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,107,3251
"Serengeti","Majimoto","Nyamakobiti","Nyamakobiti",653650.171224017,9822256.0584162,0,5837,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2010-10-02,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,106,3197
"Serengeti","Majimoto","Nyamakobiti","Nyamakobiti",652690.664969647,9823017.33408429,0,6159,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2011-02-12,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,110,3330
"Serengeti","Nyamatare","Kemgesi","Kemgesi",655618.562410412,9804653.9772862,0,6499,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2011-09-05,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,117,3535
"Serengeti","Mbalibali","Mbalibali","Mbalibali",695955.231454624,9808002.84019764,6536,6537,"Domestic dog","","Known","Yes",TRUE,"Unknown","true",2011-09-13,"0","true",2011-09-25,"+/- 7 days",2,"Week",NA,"","Killed","Thrown","","",TRUE,FALSE,117,3555
