"District","Ward","Village","Village.2002","UTM.Easting","UTM.Northing","Biter.ID","ID","Species","Other.species","Owner","Suspect","Rabid","Vaccination","Date.bitten.known","Date.bitten","Date.bitten.uncertainty","Symptoms.started.known","Symptoms.started","Symptoms.started.accuracy","Incubation.period","Incubation.period.units","Infectious.period","Infectious.period.units","Outcome","Action","Lateral.flow.test","Lateral.flow.test.date","Carnivore","Duplicated","month","day"
"Serengeti","Mosongo","Kenokwe","Kenokwe",670263.171375381,9797814.8418865,0,2569,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2006-02-01,"+/- 14 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,50,1493
"Serengeti","Kebanchebanche","Sogoti","Sogoti",674457.886698853,9815257.44212526,0,3542,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2008-02-17,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,74,2239
"Serengeti","Machochwe","Manyata","Manyata",687264.10363763,9810485.29368304,3778,3777,"Domestic dog","","Known","Yes",TRUE,"Unknown","true",2008-07-25,"+/- 7 days","true",2008-08-02,"0",NA,"",2,"Day","Disappeared","Not applicable","","",TRUE,FALSE,80,2406
"Serengeti","Majimoto","Nyamakobiti","Nyamakobiti",649151.912192443,9821408.34072959,0,4716,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2010-08-24,"0",NA,"",NA,"","Died","Not applicable","","",TRUE,FALSE,104,3158
"Serengeti","Majimoto","Nyamakobiti","Nyamakobiti",649146.205983085,9821488.59402193,0,4719,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2010-09-16,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,105,3181
"Serengeti","Busawe","Busawe","Busawe",656937.401168879,9823497.79015259,4866,4867,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2010-10-15,"+/- 7 days","true",2010-11-25,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,107,3251
"Serengeti","Majimoto","Nyamakobiti","Nyamakobiti",654108.252390277,9821340.85295662,0,5837,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2010-10-02,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,106,3197
"Serengeti","Majimoto","Nyamakobiti","Nyamakobiti",652346.732011327,9822314.58103962,0,6159,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2011-02-12,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,110,3330
"Serengeti","Nyamatare","Kemgesi","Kemgesi",655472.539571872,9804625.05405502,0,6499,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2011-09-05,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,117,3535
"Serengeti","Mbalibali","Mbalibali","Mbalibali",695756.961944914,9809735.10480672,6536,6537,"Domestic dog","","Known","Yes",TRUE,"Unknown","true",2011-09-13,"0","true",2011-09-25,"+/- 7 days",2,"Week",NA,"","Killed","Thrown","","",TRUE,FALSE,117,3555
"Serengeti","Sedeco","Bisarara","Bisarara",700955.075041795,9803209.56657943,0,6540,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2011-07-02,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,115,3470
"Serengeti","Sedeco","Bisarara","Bisarara",700550.125185339,9802843.69692602,6540,6541,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2011-07-02,"0","true",2011-07-15,"+/- 7 days",1,"Week",NA,"","Died","Not applicable","","",TRUE,FALSE,115,3483
"Serengeti","Sedeco","Bisarara","Bisarara",699722.047276851,9803502.36644272,6553,6554,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2011-09-05,"+/- 7 days","true",2011-10-01,"0",1,"Month",NA,"","Died","Not applicable","","",TRUE,FALSE,118,3561
"Serengeti","Mosongo","Mosongo","Mosongo",662013.798710358,9794126.51931798,0,6691,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2011-10-11,"0",NA,"",4,"Day","Killed","Not applicable","","",TRUE,FALSE,118,3571
"Serengeti","Mugumu","Mugumu","Mugumu",684568.69540915,9795960.55203749,0,6718,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2011-11-27,"0",NA,"",NA,"","Died","Buried","","",TRUE,FALSE,119,3618
"Serengeti","Rung'abure","Rung'abure","Rung'abure",679646.25691351,9807100.37422032,0,6758,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2011-11-18,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,119,3609
"Serengeti","Sedeco","Bonchugu","Bonchugu",699191.143896204,9792190.78021033,0,6761,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2011-08-15,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,116,3514
"Serengeti","Ring'wani","Ring'wani","Ring'wani",656942.613225487,9809202.73689831,0,6772,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2011-12-15,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,120,3636
"Serengeti","Sedeco","Bonchugu","Bonchugu",697967.748405094,9791634.83426547,0,6789,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2011-09-15,"+/- 28 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,117,3545
"Serengeti","Nyamatare","Kemgesi","Kemgesi",656673.715253866,9802815.17380486,0,6802,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2011-12-28,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,120,3649
"Serengeti","Nyamatare","Nyamatare","Nyamatare",657628.797128529,9803529.72191383,0,6805,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2011-12-28,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,120,3649
"Serengeti","Nyamatare","Kemgesi","Kemgesi",662006.903049412,9804359.12211911,6809,6810,"Domestic dog","","Known","Yes",TRUE,"Vaccinated after bite","true",2011-11-15,"+/- 7 days","true",2012-01-20,"0",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,121,3672
"Serengeti","Nyamatare","Kemgesi","Kemgesi",663007.490034557,9803188.11857906,6809,6811,"Domestic dog","","Known","Yes",TRUE,"Vaccinated after bite","true",2011-11-15,"+/- 7 days","true",2012-01-30,"0",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,121,3682
"Serengeti","Nyamatare","Kemgesi","Kemgesi",662198.159063111,9803586.93676089,6809,6812,"Domestic dog","","Known","Yes",TRUE,"Vaccinated after bite","true",2011-11-15,"+/- 7 days","true",2012-02-02,"0",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,122,3685
"Serengeti","Nyamatare","Kemgesi","Kemgesi",663107.397094785,9804204.90404484,6809,6814,"Domestic dog","","Known","Yes",TRUE,"Vaccinated after bite","true",2011-11-15,"+/- 7 days","true",2012-01-25,"0",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,121,3677
"Serengeti","Rung'abure","Rung'abure","Rung'abure",677271.43200052,9805833.55029967,5550,6824,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2011-09-15,"0",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,117,3545
"Serengeti","Ring'wani","Ring'wani","Ring'wani",657307.857084682,9810307.58124986,6773,7028,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2012-01-23,"0","true",2012-02-05,"+/- 7 days",2,"Week",NA,"","Died","Hyenas ate","","",TRUE,FALSE,122,3688
"Serengeti","Ring'wani","Ring'wani","Ring'wani",658584.069518966,9808548.59480611,6773,7029,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2012-01-23,"0","true",2012-02-05,"+/- 7 days",2,"Week",NA,"","Died","Hyenas ate","","",TRUE,FALSE,122,3688
"Serengeti","Nyamatare","Kemgesi","Kemgesi",656443.540100166,9803748.88633756,0,7134,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2012-02-03,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,122,3686
"Serengeti","Nyambureti","Maburi","Maburi",654759.932471688,9795931.4806421,0,7146,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2012-03-02,"0",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,123,3714
"Serengeti","Magange","Masinki","Masinki",651398.337199366,9807627.14486532,0,7187,"Domestic dog","","Known","Yes",TRUE,"Not applicable","false",NA,"","true",2012-01-25,"+/- 7 days",NA,"",3,"Day","Killed after bite","Buried","","",TRUE,FALSE,121,3677
"Serengeti","Magange","Masinki","Masinki",652006.943990461,9807024.54780279,7195,7194,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2012-04-05,"+/- 7 days","true",2012-04-11,"+/- 14 days",NA,"",4,"Day","Died","Thrown","","",TRUE,FALSE,124,3754
"Serengeti","Magange","Masinki","Masinki",650800.644667917,9807610.15982503,0,7195,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2012-04-05,"+/- 7 days",NA,"",4,"Day","Died","Thrown","","",TRUE,FALSE,124,3748
"Serengeti","Ring'wani","Ring'wani","Ring'wani",656079.808587776,9806300.04267096,0,7196,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2012-04-25,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,124,3768
"Serengeti","Nyamatare","Nyamatare","Nyamatare",659607.23271773,9802122.2409877,0,7201,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2012-01-10,"+/- 14 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,121,3662
"Serengeti","Sedeco","Nyamburi","Nyamburi",694325.253841988,9801875.95973504,7225,7238,"Domestic dog","","Known","Yes",TRUE,"Unknown","true",2012-05-12,"0","true",2012-05-17,"0",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,125,3790
"Serengeti","Ring'wani","Ring'wani","Ring'wani",655579.640666769,9811264.40915728,7242,7248,"Domestic dog","","Known","Yes",TRUE,"Unknown","true",2012-04-27,"0","true",2012-05-05,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,125,3778
"Serengeti","Rung'abure","Rung'abure","Rung'abure",676075.240173022,9808265.12834663,0,7252,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2012-05-25,"0",NA,"",NA,"","Killed","Thrown","","",TRUE,FALSE,125,3798
"Serengeti","Ring'wani","Ring'wani","Ring'wani",657427.919083912,9809713.38213682,7300,7296,"Domestic dog","","Known","Yes",TRUE,"Unknown","true",2012-01-23,"0","true",2012-02-05,"+/- 7 days",1,"Week",NA,"","Died","Thrown","","",TRUE,FALSE,122,3688
"Serengeti","Ring'wani","Ring'wani","Ring'wani",658180.024357218,9809140.55401394,7300,7297,"Domestic dog","","Known","Yes",TRUE,"Unknown","true",2012-01-23,"0","true",2012-02-05,"+/- 7 days",1,"Week",NA,"","Died","Thrown","","",TRUE,FALSE,122,3688
"Serengeti","Ring'wani","Ring'wani","Ring'wani",657047.180129852,9809829.55344515,7300,7298,"Domestic dog","","Known","Yes",TRUE,"Unknown","true",2012-01-23,"0","true",2012-02-05,"+/- 7 days",1,"Week",NA,"","Died","Thrown","","",TRUE,FALSE,122,3688
"Serengeti","Ring'wani","Ring'wani","Ring'wani",658428.69303672,9809602.600287,0,7300,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2012-01-23,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,121,3675
"Serengeti","Sedeco","Nyamburi","Nyamburi",695604.998660895,9803028.73933262,0,7323,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2012-04-12,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,124,3755
"Serengeti","Rung'abure","Rung'abure","Rung'abure",675367.19919741,9808175.43036773,0,7335,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2012-05-25,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,125,3798
"Serengeti","Rung'abure","Nyamerama","Nyamerama",683572.23524426,9807245.57731495,0,7345,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2011-07-25,"+/- 7 days",NA,"",NA,"","Killed","Thrown","","",TRUE,FALSE,115,3493
"Serengeti","Rung'abure","Nyamerama","Nyamerama",682121.683520522,9805868.97001941,0,7350,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2012-06-06,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,126,3810
"Serengeti","Uwanja wa Ndege","Ngarawani","Ngarawani",682260.081152129,9798586.1989108,7355,7354,"Domestic dog","","Known","Yes",TRUE,"Unknown","true",2012-04-12,"0","true",2012-06-10,"0",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,126,3814
"Serengeti","Uwanja wa Ndege","Ngarawani","Ngarawani",681782.044030889,9798923.4620344,0,7355,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2012-04-12,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,124,3755
"Serengeti","Nyansurura","Nyansurura","Nyansurura",676871.567464981,9821637.56655328,7362,7361,"Domestic dog","","Known","Yes",TRUE,"Unknown","true",2012-03-05,"+/- 7 days","true",2012-03-25,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,123,3737
"Serengeti","Nyansurura","Nyansurura","Nyansurura",676568.347422954,9820638.12119406,0,7362,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2012-03-05,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,123,3717
"Serengeti","Nyansurura","Nyansurura","Nyansurura",678535.904979383,9820604.68246299,0,7363,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2011-09-05,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,117,3535
"Serengeti","Kisaka","Borenga","Borenga",669559.135698691,9830569.90911928,0,7382,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2012-02-08,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,122,3691
"Serengeti","Ring'wani","Ring'wani","Ring'wani",655102.361230029,9810596.46772294,7385,7396,"Domestic dog","","Known","Yes",TRUE,"Unknown","true",2012-06-26,"0","false",NA,"",NA,"",NA,"","Alive","Not applicable","","",TRUE,FALSE,127,3858
"Serengeti","Ring'wani","Ring'wani","Ring'wani",655786.115933046,9810344.43815565,7385,7408,"Domestic dog","","Known","Yes",TRUE,"Unknown","true",2012-06-26,"0","false",NA,"",NA,"",NA,"","Alive","Not applicable","","",TRUE,FALSE,127,3858
"Serengeti","Nyansurura","Nyansurura","Nyansurura",679361.242919188,9818612.26792404,0,7415,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2011-09-03,"0",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,117,3533
"Serengeti","Nyansurura","Kitarungu","Kitarungu",679149.852021801,9817134.67515886,7427,7416,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2009-02-01,"+/- 28 days","true",2009-02-15,"+/- 28 days",10,"Day",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,86,2603
"Serengeti","Nyansurura","Kitarungu","Kitarungu",678050.660756253,9818406.57874624,0,7417,"Domestic dog","","Known","Yes",TRUE,"Unknown","true",2012-05-15,"+/- 7 days","true",2012-06-05,"+/- 7 days",3,"Week",NA,"","Killed","Not applicable","","",TRUE,FALSE,126,3809
"Serengeti","Rung'abure","Gesarya","Gesarya",678426.010339193,9814080.67887031,7424,7423,"Domestic dog","","Known","Yes",TRUE,"Unknown","true",2012-02-15,"+/- 7 days","true",2012-03-15,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,123,3727
"Serengeti","Rung'abure","Gesarya","Gesarya",678931.225626867,9814044.3769287,0,7424,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2012-02-15,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,122,3698
"Serengeti","Nyansurura","Kitarungu","Kitarungu",679333.866256939,9817638.39431132,0,7427,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2009-02-01,"+/- 28 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,86,2589
"Serengeti","Rung'abure","Gesarya","Gesarya",678344.659322711,9814262.63630035,0,7428,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2012-02-15,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,122,3698
"Serengeti","Rung'abure","Gesarya","Gesarya",678625.79342893,9813845.45436286,7428,7429,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2012-02-15,"+/- 7 days","true",2012-02-25,"+/- 7 days",2,"Week",NA,"","Died","Thrown","","",TRUE,FALSE,122,3708
"Serengeti","Magange","Magange","Magange",646997.541055638,9806749.45887452,0,7431,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2012-07-11,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,127,3845
"Serengeti","Ring'wani","Ring'wani","Ring'wani",656495.395571388,9809198.70351024,0,7465,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2012-07-13,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,127,3847
"Serengeti","Mbalibali","Koreri","Koreri",688751.060503817,9805731.1699949,0,7471,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2012-06-05,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,126,3809
"Serengeti","Busawe","Gantamome","Gantamome",657728.723912295,9826308.83395065,0,7502,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2012-06-16,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,126,3820
"Serengeti","Majimoto","Nyamakobiti","Nyamakobiti",650550.751066375,9818778.94570232,0,7506,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2010-06-24,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,102,3097
"Serengeti","Kyambahi","Bokore","Bokore",683218.033041965,9782827.511057,7510,7507,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2012-05-25,"+/- 7 days",NA,"",NA,"","Killed","Thrown","","",TRUE,FALSE,125,3798
"Serengeti","Kyambahi","Bokore","Bokore",681847.150462338,9782835.57525472,0,7510,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2012-05-15,"+/- 7 days",NA,"",NA,"","Killed","Thrown","","",TRUE,FALSE,125,3788
"Serengeti","Mugumu","Stendi Kuu","Stendi Kuu",688493.803853778,9798830.0825308,7549,7548,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2012-07-14,"0","true",2012-08-01,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,128,3866
"Serengeti","Mugumu","Stendi Kuu","Stendi Kuu",686616.96947005,9798335.12498579,0,7549,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2012-07-13,"0",NA,"",NA,"","Killed","Thrown","","",TRUE,FALSE,127,3847
"Serengeti","Mugumu","Stendi Kuu","Stendi Kuu",686982.604714872,9799469.09361699,0,7556,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2012-07-05,"+/- 7 days",NA,"",NA,"","Killed","Thrown","","",TRUE,FALSE,127,3839
"Serengeti","Nyambureti","Monuna","Monuna",657691.753900233,9793272.71384442,0,7562,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2012-08-11,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,128,3876
"Serengeti","Kenyamonta","Hekwe","Hekwe",641752.515658332,9823093.62887021,0,7583,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2012-04-12,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,124,3755
"Serengeti","Mbalibali","Koreri","Koreri",692446.219906129,9803327.26949146,0,7597,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2012-07-15,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,127,3849
"Serengeti","Busawe","Busawe","Busawe",655455.431977367,9824169.4153497,0,7605,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2012-07-13,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,127,3847
"Serengeti","Ring'wani","Ring'wani","Ring'wani",655554.05969631,9808495.71798531,0,7634,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2012-06-05,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,126,3809
